text,is_rumor,user.handle,created
Ottawa police are confirming a shooting at the War Memorial. Minutes ago. No other info. #cbcOTT #OTTnews,0,CBCOttawa,1413986150000.0
.@dominiquehardy @CBCOttawa related to St-Jean ?,0,petitmetroide,1413986225000.0
@petitmetroide @CBCOttawa Il est tôt pour une quelconque hypothèse.,0,dominiquehardy,1413986272000.0
Prudence avant d'en savoir plus “@CBCOttawa: Ottawa police are confirming a shooting at the War Memorial. Minutes ago. No other info.,0,StephBerthomet,1413986294000.0
"@StephBerthomet Ça va être rapporté partout sans validation,sur les radio poubelles pour crée une panique collective. L'EI nous attaque !!!",0,RenkoQC,1413986387000.0
“@CBCOttawa: Ottawa police are confirming a shooting at the War Memorial. Minutes ago. No other info. #cbcOTT #OTTnews”,0,ProfilePR,1413986393000.0
"Wow. Drove by, saw yellow tape, assumed renos. MT @CBCOttawa: Ottawa police confirm a shooting at the War Memorial minutes ago. #OTTnews",0,amkfoote,1413986472000.0
@StephBerthomet @CBCOttawa c'est déjà sur LCN et partout.,0,RenkoQC,1413986675000.0
“@RenkoQC: @StephBerthomet Ça va être ...Pkoi parles tu de radio poubelle ?,0,en_passant_la,1413986721000.0
@RenkoQC @StephBerthomet Heinh?? Ça va man? Tu as pris te pilules ?,0,Sebas_Lev,1413986918000.0
カナダの戦争記念碑で銃撃。オタワ州警察が確認。 @CBCOttawa Ottawa police are confirming a shooting at the War Memorial. Minutes ago. No other info. #cbcOTT #OTTnews,0,Thoton,1413986970000.0
"@Sebas_Lev @StephBerthomet Apprend à lire, comprend le sarcasme et après tu devrais avoir le droit de m'écrire.",0,RenkoQC,1413987095000.0
@en_passant_la @StephBerthomet Parce que tout les journaux et radio ont rependu la nouvelle avant même d'avoir la confirmation des faits.,0,RenkoQC,1413987158000.0
"“@RenkoQC: @en_passant_la @StephBerthomet ?.. Mais, tu veux qu'ils attendent la fin ? Des fois, ça peut sauver des vies donner info ?",0,en_passant_la,1413987229000.0
"@en_passant_la @StephBerthomet Dans l'état actuel post-Richlieu, ça va juste créé de la panique surtout si c'est pas fonder.",0,RenkoQC,1413987294000.0
“@RenkoQC: @en_passant_la @StephBerthomet ... Mais comment procèderais tu ?,0,en_passant_la,1413987341000.0
@en_passant_la @StephBerthomet J'attendrais que ce soit fonder ? Je vit pas ma vie pour des côté d'écoute.,0,RenkoQC,1413987446000.0
@en_passant_la La peur fait bien souvent beaucoup plus de mal que de potentiels balles. L'humain étant ce qu'il est.,0,RenkoQC,1413987555000.0
"“@RenkoQC: @en_passant_la @StephBerthomet ?.. Honnêtement, je pense pas qu'un journaliste souhaite amener une fausse info ?",0,en_passant_la,1413987578000.0
@RenkoQC @en_passant_la c'est confirmé et des journalistes étaient sur place.,0,StephBerthomet,1413987608000.0
@en_passant_la @StephBerthomet Je sais pas pour tout les médias mais @NRJ943Montreal et @tvanouvelles sont les experts du non-fondé.,0,RenkoQC,1413987664000.0
@StephBerthomet @en_passant_la Sauf que ça c'est retrouver partout bien avant d'être confirmé. Bien triste nouvelle au final.,0,RenkoQC,1413987704000.0
“@RenkoQC ... Auront ils moi s peur quand si c'est fondé ?,0,en_passant_la,1413987731000.0
“@RenkoQC  @StephBerthomet .. Si tu savais la pression qu'ils ont parfois d'amener de la viande à tout prix ! (Amener ou emener) Jhais ce mo,0,en_passant_la,1413987901000.0
@en_passant_la @StephBerthomet J'en doute pas et tant mieux ( journalistiquement parlant ) si l'événement rapporter était vrai mais 1/2,0,RenkoQC,1413988004000.0
@en_passant_la @StephBerthomet c'est trop souvent baser sur rien. Comme ce que TVA a rapporter à propos de la prière de la Ronde et qui,0,RenkoQC,1413988027000.0
@en_passant_la @StephBerthomet c'est avérer être un montage de toute pièce par un groupe haineux.,0,RenkoQC,1413988040000.0
“@RenkoQC: @en_passant_la @StephBerthomet J'en doute pas et tant.. Et ça mène à des distorsion !,0,en_passant_la,1413988133000.0
“@StephBerthomet: @RenkoQC Ça me rappelle au parlement de Québec 1984,0,en_passant_la,1413988262000.0
@RenkoQC @en_passant_la Et c'est justement pour ça que c'est du terrorisme.,0,3strokes,1413990108000.0
"@3strokes @en_passant_la Au sens large qu'on donne à ce terme, oui.",0,RenkoQC,1413990162000.0
"@RenkoQC @en_passant_la @StephBerthomet Si on en parle et qu'il ne se passe rien, tout à coup on est les experts du non-fondé, si on n'en",0,tobiebh,1413991389000.0
@RenkoQC @en_passant_la @StephBerthomet parle pas et que ça se passe réellement on est à côté de la track... c'est quoi TA formule à toi?,0,tobiebh,1413991420000.0
"@RenkoQC @en_passant_la @StephBerthomet c'est TELLEMENT facile de jouer les experts si t'as pas à le vivre toi-même au quotidien, buddy.",0,tobiebh,1413991455000.0
@tobiebh @en_passant_la @StephBerthomet Éviter le sensationnalisme et attiser la haine racial et y aller avec des faits ? 1/2,0,RenkoQC,1413991466000.0
@tobiebh @en_passant_la @StephBerthomet 2/2 va faire un tour sur la page NRJ de Facebook c'est commentaire raciste sur commentaire raciste.,0,RenkoQC,1413991487000.0
@RenkoQC @en_passant_la @StephBerthomet N'importe quel média qui a 100k+ sur sa page fb va finir par y voir arriver des commentaires,0,tobiebh,1413991546000.0
@tobiebh @en_passant_la @StephBerthomet expert ? Est-ce si dur de devoir attendre qu'un fait soit fonder ? Toujours vouloir le scoop. Buddy.,0,RenkoQC,1413991559000.0
@RenkoQC @en_passant_la @StephBerthomet De tous les temps tous les médias ont toujours utilisé le conditionnel tant que ça n'est pas con-,0,tobiebh,1413991604000.0
"@RenkoQC firmé. Si les gens ne font pas la distinction dans leurs temps de verbe, je vois pas ce qu'on peut faire.",0,tobiebh,1413991633000.0
"@tobiebh C'est encore une fois de vouloir le scoop. C'est probablement une question de rentabilité, je ne gère pas NRJ ni TVA. Je doute 1/2",0,RenkoQC,1413991782000.0
@RenkoQC J'ai fait le tour des principaux médias et je suis curieux de savoir quelle info fallacieuse on donne de plus? Hormis les com-,0,tobiebh,1413991787000.0
@RenkoQC mentaires auxquels tu fais allusion et sur lesquels on n'a ultimement aucun contrôle,0,tobiebh,1413991823000.0
"@tobiebh 2/2 que ma ""formule"" serait rentable mais aurait au moins l'intérêt de ne pas vouloir créer des mouvements de panique sv infondée.",0,RenkoQC,1413991835000.0
"@RenkoQC fais-moi une liste des informations erronées qui ont été communiquées par nous et pas par les autres stp.
Après on jasera",0,tobiebh,1413991864000.0
"@tobiebh @RenkoQC   Et voilà.... Et il faut arrêter de chercher des dieux à tout prix ! L,erreur est humaine et ils sont aussi humain !",0,en_passant_la,1413991865000.0
"@tobiebh Donc parce que tout le monde le fait, c'est correct ? C'est la norme ?",0,RenkoQC,1413991902000.0
"@tobiebh J'ai pas dit que vous étiez les pire, 130 caractère laisse pas assez de place pour citer toute la crap journalistique du QC.",0,RenkoQC,1413992167000.0
"@RenkoQC bien d'accord! Trop court pour expliquer un point comme l'autre. Mais tsé tu nous nommes, normal que je réponde ;)",0,tobiebh,1413993075000.0
"@tobiebh J'aurais du aussi faire une distinction entre votre radio et votre Facebook, mon propos aurait sûrement sembler moins agressif :/",0,RenkoQC,1413993165000.0
"@RenkoQC T'inquiète, dans la vie j'aime beaucoup argumenter. C'est jamais de la chicane mais plutôt de la simple opposition de points de",0,tobiebh,1413993827000.0
Passersby working on shooting victim. From the CBC's Jason Ho. #cbcOTT #OTTnews http://t.co/mskjnJAlvE,0,CBCOttawa,1413986251000.0
@CBCOttawa @CBCNews how horrible!!!,0,LisaRachel123,1413986361000.0
@CBCOttawa @CBCNews What a unclassy photo. It could be your mom. booo Show some discretion.,0,TrevorBoller,1413986420000.0
“@LisaRachel123: @CBCOttawa @CBCNews how horrible!!!” Shit..!!,0,Marcusl230,1413986478000.0
@CBCOttawa http://t.co/OSehwkVhvx,0,_Coffee_Pro,1413986547000.0
@CBCOttawa @CBCNews shooting is horrible,0,joanne_drouin,1413986669000.0
@CBCOttawa Did anybody manage to nail the shooter?,0,Shadow2Serenity,1413986768000.0
@CBCOttawa @CBCNews Please contact CJAD Amanda Kline (514) 207-2173,0,TarekBurg,1413986957000.0
.@Marcusl230 @CBCOttawa @CBCNews Scary!!,0,LisaRachel123,1413987499000.0
@CBCOttawa @CBCNews .... Terrible news to hear of a solider injured on Canadian soil - thoughts and prayers,0,TheReganThesis,1413988336000.0
“@CBCOttawa:Passersby working on#shooting#victim From CBC's Jason Ho#cbcOTT #OTTnews http://t.co/rN2peA1siF” #Ontario #Canada #veteran #pray,0,RJennromao,1413988538000.0
“@CBCOttawa: Passersby working on shooting victim. From the CBC's Jason Ho. #cbcOTT #OTTnews http://t.co/QlR06BFyCD” @KayBurley,0,CO226,1413989350000.0
@CBCOttawa,0,freemid,1413989970000.0
@CBCOttawa,0,stefaniecouture,1413990076000.0
@CBCOttawa God save the soldier!,0,dpisatel,1413990521000.0
@CBCOttawa very sad. Makes me wonder where this world is coming to. Prayers to all involved.,0,Hockeyangel10,1413999500000.0
Shooting at the war memorial in Ottawa. http://t.co/1Z0p4Mj5Vw,0,IvisonJ,1413986405000.0
.@IvisonJ Is this a different one from the shooting at the Centre Block?,0,sarahboesveld,1413986441000.0
"@IvisonJ @shanedingman Quit posting photos that don't need to show. Use your head, not sensationalism in the name of privacy.",0,TrevorBoller,1413986556000.0
@IvisonJ @PoliticoVoice Arrest Islamists BEFORE they murder more Canadians.  Change the immigration policies that let them into the country!,0,ivoirien_com,1413986714000.0
@IvisonJ @MartinLahaie Is the man OK?  :(,0,7PinkPanther7,1413986751000.0
"@IvisonJ This is a time of war, this is no joke.  Get real and fight for yourselves!  If you don't, no one else will!",0,ivoirien_com,1413986758000.0
@IvisonJ @nationalpost Please contact CJAD Amanda Kline (514) 207-2173,0,TarekBurg,1413986793000.0
"@ivoirien_com @IvisonJ @PoliticoVoice For the Canadian ones, give them back their passports and send them to Middle East forever.",0,7PinkPanther7,1413986795000.0
@7PinkPanther7 @IvisonJ what I read no. Could be shot to death...,0,MartinLahaie,1413986828000.0
@MartinLahaie @IvisonJ Il en aurait tiré 2 maintenant et serait au large...,0,7PinkPanther7,1413986903000.0
@IvisonJ @nationalpost hope they recover,0,gtjuijitsu,1413986996000.0
"@IvisonJ Hello I work at a London newspaper, The Independent (@independent) - can we use this image please?",0,Christian_B,1413987020000.0
"@IvisonJ Hi John, could we use your pictures in the Independent online please?",0,Roisin_OConnor,1413987023000.0
.@IvisonJ @captainjuggy SHOOTING at the WAR MEMORIAL in Ottawa... Not the best words to use in this case... :p,0,GameDevOfSnow,1413987069000.0
"@IvisonJ John, Did you shoot this? Can The Canadian Press use this image? Please contact us 416-507-2169",0,GraemeGRoy,1413987215000.0
"@IvisonJ @nationalpost very sad, another victim of #PTSD ? @rcmpgrcpolice @CanadianArmy @VeteransENG_CA need to do more",0,yourPhysiocom,1413987252000.0
"3x raden wie daar nu is ""@IvisonJ: Shooting at the war memorial in Ottawa. http://t.co/WK9XOoDiPk""",0,willemzents,1413987295000.0
@IvisonJ Did you take this photo? Would the New York Daily News be able to use it with credit?,0,NYDNLam,1413987660000.0
@ivoirien_com @IvisonJ @PoliticoVoice Let us not forget we believe in the rule of law. Innocent until proven guilty.,0,tuga_2,1414015632000.0
"@tuga_2 @IvisonJ @PoliticoVoice In EVERY war, traitors are HANGED by the neck until dead. Don't be an idiot. http://t.co/NUd4EXxrTY",0,ivoirien_com,1414027180000.0
@ivoirien_com @IvisonJ @PoliticoVoice I'm an idiot because I believe the founding principles of this nation like law and order and the BoR,0,tuga_2,1414027343000.0
"@tuga_2 @IvisonJ @PoliticoVoice You're an idiot because you don't understand that traitors must always be hanged, in every war.",0,ivoirien_com,1414028150000.0
@ivoirien_com @IvisonJ @PoliticoVoice is that why you want preemptively arrest all islamists? Do you belive they are all traitors?,0,tuga_2,1414040637000.0
After today we will officially be done shooting for the #SurrenderMusicVideo !! It's looking AMAZING so far btw! #cantwait,0,juliancamarena,1413986466000.0
ILY ❤️🙊@juliancamarena,0,sognojames,1413986533000.0
@juliancamarena how exciting! I can not wait to see it! 💙😉,0,BatmanTracy,1413986565000.0
"@juliancamarena #SurrenderMusicVideo #cantwait long time im not tweet u, I cant wait surrender MV.",0,Mheidaselv,1413986571000.0
"@juliancamarena I'm so looking forward to seeing, hearing this! #patients #sentTEXASstyle",0,chris4jason,1413988143000.0
@juliancamarena @AniyahMchenry Please vote for Justin Bieber http://t.co/WEumSyaRQ6 thank u,0,CKozubikova,1413988421000.0
"@juliancamarena 
O:-)Hermoso vid muaaa",0,daris_t,1413988754000.0
@juliancamarena @PerlDobens soo cool for you...,0,lsilval2314,1413989382000.0
@juliancamarena @SadieHewitt13 hv a wonderful time,0,Ap93Anoop,1413989587000.0
@juliancamarena u have an amazing voice I really enjoy ur music,0,Gazaempresstami,1413990450000.0
@juliancamarena Nice one,0,omivolley,1413991595000.0
@juliancamarena best of luck,0,phojuprakash,1413992597000.0
@juliancamarena sorry... what was you telling me I deleted messages accident,0,timothy97711,1413993055000.0
